Date,CPI,Nominal GDP,GDP,Unemployment Rate,CIVPART
1948-01-01,23.7,265.742,2239.682,3.4,58.6
1948-04-01,23.8,272.567,2276.69,3.9,59.0
1948-07-01,24.4,279.196,2289.77,3.6,59.3
1948-10-01,24.4,280.366,2292.364,3.7,58.7
1949-01-01,24.0,275.034,2260.807,4.3,58.7
1949-04-01,23.9,271.351,2253.128,5.3,58.8
1949-07-01,23.7,272.889,2276.424,6.7,58.9
1949-10-01,23.7,270.627,2257.352,7.9,59.6
1950-01-01,23.5,280.828,2346.104,6.5,58.9
1950-04-01,23.6,290.383,2417.682,5.8,59.2
1950-07-01,24.1,308.153,2511.127,5.0,59.1
1950-10-01,24.6,319.945,2559.214,4.2,59.4
1951-01-01,25.4,336.0,2593.967,3.7,59.1
1951-04-01,25.8,344.09,2638.898,3.1,59.1
1951-07-01,25.9,351.385,2693.259,3.1,59.4
1951-10-01,26.2,356.178,2699.156,3.5,59.4
1952-01-01,26.5,359.82,2727.954,3.2,59.5
1952-04-01,26.4,361.03,2733.8,2.9,58.8
1952-07-01,26.7,367.701,2753.517,3.2,58.9
1952-10-01,26.7,380.812,2843.941,3.0,58.7
1953-01-01,26.6,387.98,2896.811,2.9,59.5
1953-04-01,26.6,391.749,2919.206,2.7,59.1
1953-07-01,26.8,391.171,2902.785,2.6,58.9
1953-10-01,27.0,385.97,2858.845,3.1,58.5
1954-01-01,26.9,385.345,2845.192,4.9,58.6
1954-04-01,26.8,386.121,2848.305,5.9,59.2
1954-07-01,26.9,390.996,2880.482,5.8,58.4
1954-10-01,26.8,399.734,2936.852,5.7,58.8
1955-01-01,26.7,413.073,3020.746,4.9,58.6
1955-04-01,26.7,421.532,3069.91,4.7,59.0
1955-07-01,26.8,430.221,3111.379,4.0,59.3
1955-10-01,26.9,437.092,3130.068,4.3,59.8
1956-01-01,26.8,439.746,3117.922,4.0,60.2
1956-04-01,26.9,446.01,3143.694,4.0,59.9
1956-07-01,27.4,451.191,3140.874,4.4,60.1
1956-10-01,27.5,460.463,3192.57,3.9,59.8
1957-01-01,27.6,469.779,3213.011,4.2,59.5
1957-04-01,27.9,472.025,3205.97,3.9,59.5
1957-07-01,28.3,479.49,3237.386,4.2,60.0
1957-10-01,28.3,474.864,3203.894,4.5,59.5
1958-01-01,28.6,467.54,3120.724,5.8,59.3
1958-04-01,28.9,471.978,3141.224,7.4,59.6
1958-07-01,29.0,485.841,3213.884,7.5,59.6
1958-10-01,28.9,499.555,3289.032,6.7,59.6
1959-01-01,29.0,510.33,3352.129,6.0,59.3
1959-04-01,29.0,522.653,3427.667,5.2,59.4
1959-07-01,29.2,525.034,3430.057,5.1,59.4
1959-10-01,29.4,528.6,3439.832,5.7,59.4
1960-01-01,29.3,542.648,3517.181,5.2,59.1
1960-04-01,29.5,541.08,3498.246,5.2,59.5
1960-07-01,29.6,545.604,3515.385,5.5,59.5
1960-10-01,29.8,540.197,3470.278,6.1,59.4
1961-01-01,29.8,545.018,3493.703,6.6,59.6
1961-04-01,29.8,555.545,3553.021,7.0,59.3
1961-07-01,30.0,567.664,3621.252,7.0,59.3
